Gloss,LGR,Meaning
0,none,"inanimate ""person"""
1,1,first person
2,2,second person
3,3,third person
4,none,fourth person
12,none,first person inclusive
ADV,ADV,adverbial
ALLAT,ALL,allative
CAUS,CAUS,causative
DEPPART,none,dependent participle
DETACH,none,detachment marker
DETACH,none,detachment marker
DUBIT,none,dubitative
EMPH,none,emphatic
EMPH,none,emphatic
FUT,FUT,future tense
HABIT,none,habitual
IC,none,initial change
IMPER,IMP,imperative
IMPERF,IPFV,imperfective
INDEF,INDF,indefinite
INSTR,INS,instrumental
INTENSE,none,intensifier
INTERR,none,interrogative
IRREALIS,IRR,irrealis
ITER,none,iterative
LOC,LOC,locative
MIRATIVE,none,mirative
NA,none,animate noun
NARRPAST,none,narrative past tense
NEG,NEG,negation
NI,none,inanimate noun
OBLIG,none,obligatory
OBV,none,obviative
PASS,PASS,passive
PAST,PST,past tense
PERF,PRF,perfect
PL,PL,plural
POTENT,none,potential
PROHIB,PROH,prohibitive
REDUP,none,reduplication
REFL/RECIP,REFL/RECP,reflexive/reciprocal
S,SG,singular
SUBJ,SBJV,subjunctive
SUGG,none,suggestive imperative
SUPERL,none,superlative
VENTAT,none,ventative
