File,Original_Tier_Name,New_Tier_Name
IGS0229_2017-3-8_20.eaf,FT-ENG,ft@DQ
IGS0229_2017-3-8_20.eaf,REF,ref@DQ
IGS0229_2017-3-8_20.eaf,Transcription,tx@DQ
IGS0229_2017-3-8_21.eaf,FT-ENG,ft@DQ
IGS0229_2017-3-8_21.eaf,REF,ref@DQ
IGS0229_2017-3-8_21.eaf,Transcription,tx@DQ
IGS0229_2017-3-8_22.eaf,FT-ENG,ft@DQ
IGS0229_2017-3-8_22.eaf,REF,ref@DQ
IGS0229_2017-3-8_22.eaf,Transcription,tx@DQ
IGS0229_2017-3-8_4.eaf,FT-ENG,ft@GB
IGS0229_2017-3-8_4.eaf,REF,ref@GB
IGS0229_2017-3-8_4.eaf,Transcription,tx@GB
IGS0229_2017-3-8_5.eaf,FT-ENG,ft@GB
IGS0229_2017-3-8_5.eaf,REF,ref@GB
IGS0229_2017-3-8_5.eaf,Transcription,tx@GB
IGS0229_2017-3-8_6.eaf,FT-ENG,ft@GB
IGS0229_2017-3-8_6.eaf,REF,ref@GB
IGS0229_2017-3-8_6.eaf,Transcription,tx@GB
