Gloss,LGR,Meaning
1,none,class 1
1,1,first person
2,none,class 2
2,2,second person
3,none,class 3
4,none,class 4
5,none,class 5
5,none,class 5
6,none,class 6
7,none,class 7
8,none,class 8
9,none,class 9
10,none,class 10
11,none,class 11
12,none,class 12
13,none,class 13
14,none,class 14
15,none,class 15
16,none,class 16
17,none,class 17
18,none,class 18
18,none,class 18
22,none,class 22
23,none,class 23
ADD,none,additive
APPL,none,applicative
AUG,none,augment
AUX,AUX,auxiliary
CAUS,CAUS,causative
CNTRFACT,,(unclear)
COM,COM,comitative
COMPL,COMP,complementizer
CONJ,none,conjunction
COP,COP,copula
DEM,DEM,demonstrative
DIST ,DIST,distal
eMPH,none,emphatic
FOC,FOC,focus
FUT,FUT,future
FV,none,final vowel
GEN,GEN,genitive
HAB,none,habitual
HORT,none,hortative
IMP ,IMP,imperative
INF,INF,infinitive
INTERJ,none,interjection
LOC,LOC,locative
MED,none,medial
NAR,none,narrative
NEG,NEG,negation
O,OBJ,object
P,P,patient like argument of canonical transitive verb
PASS,PASS,passive
PERS,none,persistive
PFV,PFV,perfective
pl,PL,plural
POSS,POSS,possessive
POT,,(unclear)
PROG,PROG,progressive
PROX,PROX,proximal
PST,PST,past
QUOT,QUOT,quotative
REFL,none,reflexive
REL,none,relativizer
RPOG,PROG,progressive
S,none,subject agreement prefix
SBJ,SBJ,subject
SBJV,SBJV,subjunctive
sg,SG,singular
