File,Original_Tier_Name,New_Tier_Name
GN_Yube_xenidan.eaf,Translation English,ft@GN
GN_Yube_xenidan.eaf,Morphological Glossing-cp_Tok_Tok,gl@GN
GN_Yube_xenidan.eaf,Morphological Segmentation-cp_Tok_Tok,mb@GN
GN_Yube_xenidan.eaf,Reference,ref@GN
GN_Yube_xenidan.eaf,Transcription,tx@GN
GN_Yube_xenidan.eaf,Morphological Segmentation-cp_Tok,wd@GN
JC_Heu_yuxibu.eaf,Translation English,ft@JC
JC_Heu_yuxibu.eaf,Morphological Glossing_Tok_Tok,gl@JC
JC_Heu_yuxibu.eaf,Morphological Segmentation_Tok_Tok,mb@JC
JC_Heu_yuxibu.eaf,Reference,ref@JC
JC_Heu_yuxibu.eaf,Transcription,tx@JC
JC_Heu_yuxibu.eaf,Morphological Segmentation_Tok,wd@JC
MB_Autobiography.eaf,TranslationEng,ft@MB
MB_Autobiography.eaf,Morphological Glossing_Tok_Tok,gl@MB
MB_Autobiography.eaf,Morphological Segmentation_Tok_Tok,mb@MB
MB_Autobiography.eaf,Reference,ref@MB
MB_Autobiography.eaf,Transcription,tx@MB
MB_Autobiography.eaf,Morphological Segmentation_Tok,wd@MB
