Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
2|3,none,second or third person (syncretism)
ABL,ABL,ablative
ABS,ABS,absolutive
ADLZR,none,adjectivalizer
ALL,ALL,allative
ALR,none,iamative 'already'
AND,none,andative
ANIM,none,animate
APPR,none,apprehensive
ASSOC,none,associative
CHAR,none,characteristic case
DAT,DAT,dative
DEM,DEM,demonstrative
DIM,none,diminuitive
DIST,DIST,distal
DISTR,DISTR,distributive
DU,DU,dual
DUR,DUR,durative
EMPH,none,emphatic
ERG,ERG,ergative
ETC,none,et cetera 'and all'
FEM,FEM,feminine
FUT,FUT,future
FUTIMP,none,future imperative
HAB,none,habitual
IMM,none,immediate
IMN,none,imminent
IMP,IMP,imperative
INDF,INDF,indefinite
INS,INS,instrumental
IO,none,indirect object
IPFV,IPFV,imperfective
IPST,none,immediate past
IRR,IRR,irrealis
ITER,none,iterative
LOC,LOC,locative
MASC,M,masculine
MED,none,medial demonstrative
NEG,NEG,negation
NMLZ,NMLZ,nominalizer
NPST,none,nonpast
NSG,none,non-singular
ONLY,none,exclusive marker 'only' 'just'
PFV,PFV,perfective
PL,PL,plural
POSS,POSS,possessive
POT,none,potential
PRIV,none,privative case
PROP,none,proprietive case
PROX,PROX,proximal
PST,PST,past
PST:PST/hit,OBJ,object
PURP,PURP,purposive
RECOG,none,recognitional pronoun
REDUP,none ,reduplication
RPST,none,recept past
SBJ,SBJ,subject
SG,SG,singular
SIMIL,none,similative
STAT,none,stative
TEMP,none,temporal case
VENT,none,venitive
