"lang","file","core_extended","speaker",wd_ID,wd,"start","end","ref","tx","ft","mb_ID","mb","ps","gl","ph_ID","ph"
"warl1254","doreco_warl1254_2005ERGstoryWA32_2",core,"WA32",w000001,"<p:>",0.000,95.182,"<p:>","<p:>","<p:>","","","","","p000001","<p:>","",""
"warl1254","doreco_warl1254_2005ERGstoryWA32_2",core,"WA32",w000002,"wati",95.182,95.672,"0001_DoReCo_doreco_warl1254_2005ERGstoryWA32_2","wati ka karrimi makiti-kirli watiya-wana karnta www .","a man is standing with a rifle by a tree, a woman xxx","","","","","p000002 p000003 p000004 p000005","w a t i","",""
"warl1254","doreco_warl1254_2005ERGstoryWA32_2",core,"WA32",w000003,"ka",95.672,95.859,"0001_DoReCo_doreco_warl1254_2005ERGstoryWA32_2","wati ka karrimi makiti-kirli watiya-wana karnta www .","a man is standing with a rifle by a tree, a woman xxx","","","","","p000006 p000007","k a","",""
"warl1254","doreco_warl1254_2005ERGstoryWA32_2",core,"WA32",w000004,"karrimi",95.859,96.414,"0001_DoReCo_doreco_warl1254_2005ERGstoryWA32_2","wati ka karrimi makiti-kirli watiya-wana karnta www .","a man is standing with a rifle by a tree, a woman xxx","","","","","p000008 p000009 p000010 p000011 p000012 p000013","k a 4 i m i","",""
"warl1254","doreco_warl1254_2005ERGstoryWA32_2",core,"WA32",w000005,"<p:>",96.414,96.935,"0001_DoReCo_doreco_warl1254_2005ERGstoryWA32_2","wati ka karrimi makiti-kirli watiya-wana karnta www .","a man is standing with a rifle by a tree, a woman xxx","","","","","p000014","<p:>","",""
"warl1254","doreco_warl1254_2005ERGstoryWA32_2",core,"WA32",w000006,"makitikirli",96.935,97.642,"0001_DoReCo_doreco_warl1254_2005ERGstoryWA32_2","wati ka karrimi makiti-kirli watiya-wana karnta www .","a man is standing with a rifle by a tree, a woman xxx","","","","","p000015 p000016 p000017 p000018 p000019 p000020 p000021 p000022 p000023 p000024","m a k i t i k i l` i","",""
"warl1254","doreco_warl1254_2005ERGstoryWA32_2",core,"WA32",w000007,"<p:>",97.642,97.707,"0001_DoReCo_doreco_warl1254_2005ERGstoryWA32_2","wati ka karrimi makiti-kirli watiya-wana karnta www .","a man is standing with a rifle by a tree, a woman xxx","","","","","p000025","<p:>","",""
"warl1254","doreco_warl1254_2005ERGstoryWA32_2",core,"WA32",w000008,"watiyawana",97.707,98.512,"0001_DoReCo_doreco_warl1254_2005ERGstoryWA32_2","wati ka karrimi makiti-kirli watiya-wana karnta www .","a man is standing with a rifle by a tree, a woman xxx","","","","","p000026 p000027 p000028 p000029 p000030 p000031 p000032 p000033 p000034 p000035","w a t i j a w a n a","",""
"warl1254","doreco_warl1254_2005ERGstoryWA32_2",core,"WA32",w000009,"<p:>",98.512,99.767,"0001_DoReCo_doreco_warl1254_2005ERGstoryWA32_2","wati ka karrimi makiti-kirli watiya-wana karnta www .","a man is standing with a rifle by a tree, a woman xxx","","","","","p000036","<p:>","",""
"warl1254","doreco_warl1254_2005ERGstoryWA32_2",core,"WA32",w000010,"karnta",99.767,100.335,"0001_DoReCo_doreco_warl1254_2005ERGstoryWA32_2","wati ka karrimi makiti-kirli watiya-wana karnta www .","a man is standing with a rifle by a tree, a woman xxx","","","","","p000037 p000038 p000039 p000040 p000041","k a n` t` a","",""
"warl1254","doreco_warl1254_2005ERGstoryWA32_2",core,"WA32",w000011,"<p:>",100.335,102.354,"<p:>","<p:>","<p:>","","","","","p000042","<p:>","",""
