Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
ABL,ABL,ablative case
ACC,ACC,accusative case
AFIR,none,affirmative
ALL,ALL,allative case
ANIM,none,animate
AUG,none,augmentative
BEN,BEN,benefactive case
CAUS,CAUS,causative
CLF,CLF,classifier
CMPV,none,comparative
CON,none,sentence connector
COND,COND,conditional
COP,COP,copula
DIM,none,diminutitive
DIR,none,directional
DU,DU,dual
EXCL,EXCL,exclusive
F,F,feminine
FRUS,none,frustrative
FUT,FUT,future
HAB,none,habitual
IFR,none,inferential evidentiality
IMP,IMP,imperative
INAN,none,inanimate
INST,INS,instrumental
INTER,none,interrogative
INTR LOC,none,intransitive locative case
M,M,masculine
MULT,none,multiple action
NEG,NEG,negation
NMZ,NMLZ,nominalizer
PERF,PRF,perfective
PERT,none,pertaining to
PL,PL,plural
PN,none,third person pronoun
POSS,POSS,possessive
PRED,none,predicate
PROB,none,probability
PROX,PROX,proximal
PURP,PURP,purposive
Q,none,interrogative particle
Q!TOT,QUOT,quotative
REC,none,recent past
RECP,RECP,reciprocral
REFL,REFL,reflexive
REM,none,remote past
REP,none,repetitive
REST,none,restrictive
SG,SG,singular
SIM,none,similar to
SOC,none,sociative case
STA,none,stative
TR,TR,transitive
VBZ,none,verbalizer
VOC,VOC,vocative
NC,none,not classified
