"lang","file","core_extended","speaker",wd_ID,wd,"start","end","ref","tx","ft","mb_ID","mb","doreco-mb-algn","ps","gl","ph_ID","ph"
"nort2875","doreco_nort2875_nalta093",core,"CM",w000001,"<p:>",0.000,0.046,"<p:>","<p:>","<p:>","m000001","<p:>","<p:>","<p:>","<p:>","p000001","<p:>","",""
"nort2875","doreco_nort2875_nalta093",core,"CM",w000002,"<<ui>>",0.046,0.257,"0001_DoReCo_doreco_nort2875_nalta093","****","****","m000002","****","****","****","****","p000002","<<ui>>","",""
"nort2875","doreco_nort2875_nalta093",core,"CM",w000003,"<p:>",0.257,0.734,"<p:>","<p:>","<p:>","m000003","<p:>","<p:>","<p:>","<p:>","p000003","<p:>","",""
"nort2875","doreco_nort2875_nalta093",core,"CM",w000004,"iʔen",0.734,1.337,"0002_DoReCo_doreco_nort2875_nalta093","iʔen ay ganit ʔen","This is taro,","m000004","i'én","****","dem","PROX.DEM","p000004 p000005 p000006 p000007 p000008","? i ? I: n","",""
"nort2875","doreco_nort2875_nalta093",core,"CM",w000005,"ay",1.337,1.767,"0002_DoReCo_doreco_nort2875_nalta093","iʔen ay ganit ʔen","This is taro,","m000005","ay","****","pm","PM","p000009 p000010 p000011","? a j","",""
"nort2875","doreco_nort2875_nalta093",core,"CM",w000006,"<<fp>uwah>",1.767,2.017,"0002_DoReCo_doreco_nort2875_nalta093","iʔen ay ganit ʔen","This is taro,","m000006","****","****","****","****","p000012","<<fp>uwah>","",""
"nort2875","doreco_nort2875_nalta093",core,"CM",w000007,"ganit",2.017,2.463,"0002_DoReCo_doreco_nort2875_nalta093","iʔen ay ganit ʔen","This is taro,","m000007","ganít","****","u","taro","p000013 p000014 p000015 p000016 p000017","g a n i t","",""
"nort2875","doreco_nort2875_nalta093",core,"CM",w000008,"ʔen",2.463,2.975,"0002_DoReCo_doreco_nort2875_nalta093","iʔen ay ganit ʔen","This is taro,","m000008","=en","****","dem","PROX.DEM.ABS","p000018 p000019 p000020","? I: n","",""
"nort2875","doreco_nort2875_nalta093",core,"CM",w000009,"<p:>",2.975,3.466,"<p:>","<p:>","<p:>","m000009","<p:>","<p:>","<p:>","<p:>","p000021","<p:>","",""
"nort2875","doreco_nort2875_nalta093",core,"CM",w000010,"<<fs>inen>",3.466,3.908,"0003_DoReCo_doreco_nort2875_nalta093","iʔen ten inetamen mi ʔen uman na siʔe","when we plant it, it just looks like this","m000010","i'én","****","dem","PROX.DEM","p000022","<<fs>inen>","",""
