"lang","file","core_extended","speaker",wd_ID,wd,"start","end","ref","tx","ft","mb_ID","mb","doreco-mb-algn","ps","gl","ph_ID","ph"
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000018,"<p:>",8.350,9.280,"<p:>","<p:>","<p:>","m000020","<p:>","<p:>","","<p:>","p000062","<p:>","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000019,"bɛr",9.280,9.540,"0005_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","bɛr yɛʔ","my younger brother","m000021","bɛr","****","","younger.sibling","p000063 p000064 p000065","b E r","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000020,"yɛʔ",9.540,9.900,"0005_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","bɛr yɛʔ","my younger brother","m000022","yɛʔ","****","","1S","p000066 p000067 p000068","j E ?","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000021,"<p:>",9.900,10.650,"<p:>","<p:>","<p:>","m000023","<p:>","<p:>","","<p:>","p000069","<p:>","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000022,"ʔoʔ",10.650,10.760,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000024","ʔoʔ","****","","3S","p000070 p000071 p000072","? o ?","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000023,"sətat",10.760,11.130,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000025","stat","****","","start","p000073 p000074 p000075 p000076 p000077","s @ t a t","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000024,"kəritəh",11.130,11.724,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000026","kritəh,","****","","car","p000078 p000079 p000080 p000081 p000082 p000083 p000084","k @ r i t @ h","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000025,"lpas",11.724,12.070,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000027","lpas","****","","after","p000085 p000086 p000087 p000088","l p a s","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000026,"cənʔon",12.070,12.390,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000028 m000029","cn ʔon","**** ****","","SOURCE DEM","p000089 p000090 p000091 p000092 p000093 p000094","c @ n ? o n","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000027,"yapɛ̃h",12.390,12.802,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000030","yapɛ̃h","****","","1P.EXCL","p000095 p000096 p000097 p000098 p000099","j a p E~ h","",""
