Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
ABL,ABL,ablative
acc,ACC,accusative
ACT,none,action nominalizer
ADH,none,adhortative
ag,none,agentive
ALL,ALL,allative
BEN,BEN,benefactive
CAUS,CAUS,causative
CL,CLF,classifier
COMT,COM,comitative
CONT,none,continuous
CPLV,,(unclear)
CTAG,none,confirmation tag
DISJ,,(unclear)
DTAG,none,disjunction tag
DUR,none,durative
EMPH,none,emphatic
F,F,feminine
GEN,GEN,genitive
GMC,,(unclear)
HAB,none,habitual
hon,none,honorific
ICCS,,(unclear)
IMM1,none,immediacy level 1
IMM2,none,immediacy level 2
IMM3,none,immediacy level 3
IMMD,none,immediacy marker
INST,INS,instrumental
ints ,none,intensifier
INTS1,none,intensity level one
INTS2,none,intensity level 2
INTS3,none,intensity level 3
INTSF,none,intensifier
IRR,IRR,irrealis
LOC,LOC,locative
M,M,masculine
medl,none,medial
N,N,neuter
NEG,NEG,negation
NF,none,non-finite
NMZ,NMLZ,nominalizer
nom,NOM,nominative
Non-purp,none,non purposive
nvis,none,non visible
OBLIG,none,obligatory
PASS,PASS,passive
PL,PL,plural
PROH,PROH,prohibitive
prox,PROX,proximal
PTNL,,(unclear)
QTAG,none,question tag
REAL,none,realis
REF,none,referential
RES,RES,resultative
sg,SG,singular
top,TOP,topic
