File,Original_Tier_Name,New_Tier_Name
2004ERGstoryLA21_1.eaf,eng,ft@A21
2004ERGstoryLA21_1.eaf,default,tx@A21
2004ERGstoryLA21_2.eaf,%ENG@A21,ft@A21
2004ERGstoryLA21_2.eaf,%ENG@COS,ft@COS
2004ERGstoryLA21_2.eaf,%mor@A21,gl@A21
2004ERGstoryLA21_2.eaf,*A21,tx@A21
2004ERGstoryLA21_2.eaf,*COS,tx@COS
2004ERGstoryLA21_3.eaf,%ENG@A21,ft@A21
2004ERGstoryLA21_3.eaf,%ENG@COS,ft@COS
2004ERGstoryLA21_3.eaf,%mor@A21,gl@A21
2004ERGstoryLA21_3.eaf,%mor@COS,gl@COS
2004ERGstoryLA21_3.eaf,*A21,tx@A21
2004ERGstoryLA21_3.eaf,*COS,tx@COS
2005ERGstoryLA35al.eaf,%ENG@A35,ft@A35
2005ERGstoryLA35al.eaf,%ENG@A55,ft@A55
2005ERGstoryLA35al.eaf,%ENG@COS,ft@COS
2005ERGstoryLA35al.eaf,*A35,tx@A35
2005ERGstoryLA35al.eaf,*A55,tx@A55
2005ERGstoryLA35al.eaf,*COS,tx@COS
2008ERGstoryLA57.eaf,%ENG@A57,ft@A57
2008ERGstoryLA57.eaf,*A57,tx@A57
2015ERGstoryLA90.eaf,%ENG@A90,ft@A90
2015ERGstoryLA90.eaf,%ENG@COS,ft@COS
2015ERGstoryLA90.eaf,*A90,tx@A90
2015ERGstoryLA90.eaf,*COS,tx@COS
2015ERGstoryLA91.eaf,%ENG@A91,ft@A91
2015ERGstoryLA91.eaf,*A91,tx@A91
2015ERGstoryLA93.eaf,%ENG@A93,ft@A93
2015ERGstoryLA93.eaf,*A93,tx@A93
2015ERGstoryLAC09.eaf,Eng gloss,ft@AC09
2015ERGstoryLAC09.eaf,transcript,tx@AC09
2015ERGstoryLAC43.eaf,eng2,ft@AC43
2015ERGstoryLAC43.eaf,trans,tx@AC43
2015ERGstoryLAC58.eaf,Eng gloss,ft@AC58
2015ERGstoryLAC58.eaf,transcript,tx@AC58
